"(PDH-CSV 4.0) (Korea Standard Time)(-540)","\\DESKTOP-PBJRE7A\Process(myIOCP)\% Processor Time","\\DESKTOP-PBJRE7A\Process(myIOCP)\Handle Count","\\DESKTOP-PBJRE7A\Process(myIOCP)\Private Bytes","\\DESKTOP-PBJRE7A\Process(myIOCP)\Thread Count"
"06/02/2026 13:56:51.653","60.199390161837115443","1602","422461440","48"
"06/02/2026 13:56:56.640","33.218990476032693948","1580","422461440","48"
"06/02/2026 13:57:01.639","33.431943610971856629","1590","422461440","48"
"06/02/2026 13:57:06.645","66.198210492003681793","1525","422461440","48"
"06/02/2026 13:57:11.656","53.944881816380473083","1589","422461440","48"
"06/02/2026 13:57:16.644","41.348608989690795568","1578","422461440","48"
"06/02/2026 13:57:21.647","63.396424188839560543","1556","422461440","48"
"06/02/2026 13:57:26.656","56.773519604647482595","1513","422461440","48"
"06/02/2026 13:57:31.650","73.508338515660781809","1607","422461440","48"
"06/02/2026 13:57:36.648","48.152410278026664514","1601","422461440","48"
"06/02/2026 13:57:41.657","55.835051613896759193","1587","422461440","48"
"06/02/2026 13:57:46.649","49.769907021249501611","1605","422461440","48"
"06/02/2026 13:57:51.650","32.182206027108541946","1670","422461440","48"
"06/02/2026 13:57:56.658","32.761375872950260657","1637","422461440","48"
"06/02/2026 13:58:01.645","21.930733450146195906","1606","422461440","48"
"06/02/2026 13:58:06.648","23.111613753314081521","1610","422461440","48"
"06/02/2026 13:58:11.646","30.013632792286916384","1589","422461440","48"
"06/02/2026 13:58:16.649","23.412566553123586033","1589","422461440","48"
"06/02/2026 13:58:21.649","20.945273209793619174","1608","422461440","48"
"06/02/2026 13:58:26.656","25.896707506336021254","1649","422461440","48"
"06/02/2026 13:58:31.649","29.42167336576050829","1605","422461440","48"
"06/02/2026 13:58:36.649","27.498075684663586316","1613","422461440","48"
"06/02/2026 13:58:41.650","27.49642491483257345","1588","422461440","48"
"06/02/2026 13:58:46.652","21.552654316455157613","1584","422461440","48"
"06/02/2026 13:58:51.658","45.240964986163881179","1598","422461440","48"
"06/02/2026 13:58:56.655","60.06308185234624375","1556","422461440","48"
"06/02/2026 13:59:01.648","50.372441190118586007","1598","422461440","48"
"06/02/2026 13:59:06.650","61.863018370601984941","1621","422461440","48"
"06/02/2026 13:59:11.663","48.618527722075072006","1634","422461440","48"
"06/02/2026 13:59:16.661","46.587035528131245599","1672","422461440","48"
"06/02/2026 13:59:21.639","48.965549285889444775","1655","422461440","48"
"06/02/2026 13:59:26.642","60.555198023238610006","1682","422461440","48"
"06/02/2026 13:59:31.659","85.989877181929571748","1628","422461440","48"
"06/02/2026 13:59:36.645","78.027439065295610021","1601","422461440","48"
"06/02/2026 13:59:41.642","51.908378125302135686","1607","422461440","48"
"06/02/2026 13:59:46.642","61.539965295508089582","1571","422461440","48"
"06/02/2026 13:59:51.652","48.355940935780076018","1573","422461440","48"
"06/02/2026 13:59:56.660","71.781452974854104809","1588","422461440","48"
"06/02/2026 14:00:01.653","64.462988110992213819","1585","422461440","48"
"06/02/2026 14:00:06.650","37.834435649100633725","1602","422461440","48"
"06/02/2026 14:00:11.651","41.554607948858354405","1558","422461440","48"
"06/02/2026 14:00:16.635","28.526467777174097762","1599","422461440","48"
"06/02/2026 14:00:21.654","65.070216255390363358","1563","422461440","48"
"06/02/2026 14:00:26.635","62.40034257650104621","1591","422461440","48"
"06/02/2026 14:00:31.655","42.657340748202933867","1631","422461440","48"
"06/02/2026 14:00:36.652","65.043226427419128299","1647","422461440","48"
"06/02/2026 14:00:41.654","82.458965120597383702","1642","422461440","48"
"06/02/2026 14:00:46.643","74.852252802508431273","1640","422461440","48"
"06/02/2026 14:00:51.647","60.578585899055859443","1621","422461440","48"
"06/02/2026 14:00:56.645","49.070901919826717119","1661","422461440","48"
"06/02/2026 14:01:01.662","42.678131317796427879","1658","422461440","48"
"06/02/2026 14:01:06.665","54.018096044689343671","1629","422461440","48"
"06/02/2026 14:01:11.646","73.694716669591869618","1585","422461440","48"
"06/02/2026 14:01:16.651","94.953476594607707284","1576","422461440","48"
"06/02/2026 14:01:21.653","41.53937419959559918","1598","422461440","48"
"06/02/2026 14:01:26.648","60.013650704989352391","1632","422461440","48"
"06/02/2026 14:01:31.646","85.418276868977926597","1612","422461440","48"
"06/02/2026 14:01:36.645","69.712689983398604454","1605","422461440","48"
"06/02/2026 14:01:41.652","61.147570481734639714","1619","422461440","48"
"06/02/2026 14:01:46.639","73.008690413051752444","1594","422461440","48"
"06/02/2026 14:01:51.646","74.576552462900949081","1603","422461440","48"
"06/02/2026 14:01:56.644","70.036318033079240308","1583","422461440","48"
"06/02/2026 14:02:01.662","58.236365570048789664","1571","422461440","48"
"06/02/2026 14:02:06.653","50.714270301440812716","1589","422461440","48"
"06/02/2026 14:02:11.651","73.45212725662187836","1585","422461440","48"
"06/02/2026 14:02:16.647","75.372046931958124105","1603","422461440","48"
"06/02/2026 14:02:21.657","52.406392749398875708","1595","422461440","48"
"06/02/2026 14:02:26.645","56.684513415126062341","1636","422461440","48"
"06/02/2026 14:02:31.657","47.338696232908141326","1557","422461440","48"
"06/02/2026 14:02:36.656","92.867709853507903972","1602","422461440","48"
"06/02/2026 14:02:41.645","76.480777687440749446","1617","422461440","48"
"06/02/2026 14:02:46.653","79.560262454666755616","1567","422461440","48"
"06/02/2026 14:02:51.647","60.07086199163982343","1587","422461440","48"
"06/02/2026 14:02:56.642","73.820977393344151096","1589","422461440","48"
"06/02/2026 14:03:01.653","77.959258616181998036","1519","422461440","48"
"06/02/2026 14:03:06.648","60.375115031799474252","1531","422461440","48"
"06/02/2026 14:03:11.638","76.699376172730325152","1544","422461440","48"
"06/02/2026 14:03:16.645","74.268355098180322216","1571","422461440","48"
"06/02/2026 14:03:21.639","79.791230195078213683","1536","422461440","48"
"06/02/2026 14:03:26.646","40.574513943790016413","1586","422461440","48"
"06/02/2026 14:03:31.654","53.973540810036901405","1595","422461440","48"
"06/02/2026 14:03:36.636","53.000717206959699013","1586","422461440","48"
"06/02/2026 14:03:41.645","57.712899078769865469","1615","422461440","48"
"06/02/2026 14:03:46.641","76.925710967183789535","1605","422461440","48"
"06/02/2026 14:03:51.656","81.946985597272004043","1590","422461440","48"
"06/02/2026 14:03:56.647","69.805455863208536016","1646","422461440","48"
"06/02/2026 14:04:01.669","54.755675794152423919","1577","422461440","48"
"06/02/2026 14:04:06.655","60.169064240083066863","1614","422461440","48"
"06/02/2026 14:04:11.653","70.026374733779732651","1574","422461440","48"
"06/02/2026 14:04:16.649","47.236530574005200833","1547","422461440","48"
"06/02/2026 14:04:21.655","57.73378690960318238","1567","422461440","48"
"06/02/2026 14:04:26.655","64.68365002915025741","1575","422461440","48"
"06/02/2026 14:04:31.647","54.789648725290454934","1612","422461440","48"
"06/02/2026 14:04:36.655","68.933375379905868385","1568","422461440","48"
